                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3154,                 2.8969,                 1.7701,                0.00417,                0.30833,                0.01236,                0.00404,                 3.3944,                 4.2373,                 3.3835,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.3878,                 3.0386,                 1.7678,                0.00514,                0.39167,                0.02005,                0.00366,                 3.4608,                 4.2088,                 3.3332,               0.000948,               0.000948,               0.000948
                     36,                 2.3877,                 3.1338,                 1.7277,                 0.0049,                    0.4,                 0.0106,                0.00312,                 3.4105,                 4.0973,                  3.468,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.1809,                 2.9265,                 1.5376,                0.00468,                   0.35,                0.00808,                0.00197,                 3.4138,                 4.1428,                 3.5081,              0.0009197,              0.0009197,              0.0009197
                     38,                  2.287,                 2.9751,                 1.7394,                0.00357,                0.25833,                0.00659,                0.00188,                 3.4147,                  4.776,                 4.1035,             0.00090556,             0.00090556,             0.00090556
                     39,                 2.1268,                 2.7803,                 1.5558,                0.00344,                   0.25,                 0.0091,                0.00283,                 3.4072,                 4.5707,                 4.0423,             0.00089141,             0.00089141,             0.00089141
                     40,                 2.1906,                 2.8113,                 1.5292,                0.00363,                    0.3,                0.00772,                0.00167,                 3.4157,                 4.0061,                 4.0285,             0.00087726,             0.00087726,             0.00087726
                     41,                 2.0911,                 2.7047,                 1.6719,                0.00347,                    0.3,                0.00745,                0.00164,                 3.5347,                 4.2309,                 4.0008,             0.00086312,             0.00086312,             0.00086312
                     42,                 2.1862,                 2.5786,                 1.6237,                0.00232,                0.20833,                0.00411,                0.00094,                 3.4848,                 5.1483,                 4.7766,             0.00084897,             0.00084897,             0.00084897
                     43,                 2.3107,                 2.8329,                 1.6502,                0.00266,                0.25833,                0.00293,                 0.0009,                 3.4726,                  8.798,                  4.484,             0.00083482,             0.00083482,             0.00083482
                     44,                 2.0113,                 2.4407,                 1.5863,                0.00534,                0.16667,                0.00312,                 0.0011,                  3.578,                 15.137,                 5.1162,             0.00082067,             0.00082067,             0.00082067
                     45,                 2.0514,                 2.4039,                 1.4621,                 0.0029,                0.30833,                0.00402,                 0.0012,                  3.592,                 12.266,                 5.7185,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.9667,                 2.3849,                 1.6429,                0.00413,                   0.45,                0.00556,                 0.0018,                 3.6008,                 10.292,                 6.6281,             0.00079238,             0.00079238,             0.00079238
                     47,                  2.061,                 2.4452,                 1.6013,                0.00635,                0.16667,                0.01026,                0.00276,                 3.5887,                  8.548,                 6.6096,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.9997,                 2.3663,                 1.5565,                0.00535,                0.04167,                0.01072,                0.00366,                 3.5041,                 6.3669,                 5.5393,             0.00076409,             0.00076409,             0.00076409
                     49,                 2.0093,                  2.404,                 1.6132,                0.01102,                0.08333,                0.01009,                0.00368,                 3.5508,                 6.4591,                 5.4236,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.9903,                 2.1173,                 1.4148,                0.01208,                0.08333,                0.01049,                0.00385,                 3.5374,                 5.9989,                 5.2176,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.9848,                  2.398,                 1.4311,                0.51895,                0.04167,                0.01185,                0.00479,                 3.4931,                 4.6926,                 4.4325,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.8862,                 2.1745,                 1.3802,                0.02644,                0.04167,                0.01414,                0.00592,                 3.3271,                 4.2448,                 3.9649,              0.0007075,              0.0007075,              0.0007075
                     53,                 2.0124,                  2.269,                 1.4856,                0.03421,                0.04167,                0.01572,                 0.0064,                 3.2396,                 3.8789,                 3.6941,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.9461,                 2.0948,                 1.4253,                0.55255,                0.04167,                0.01811,                  0.007,                 3.2156,                 3.6652,                 3.5488,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.8564,                 2.1403,                 1.4398,                0.05325,                0.04167,                0.01835,                0.00652,                 3.3003,                 3.4571,                 3.7291,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.7423,                 1.8927,                 1.3699,                0.05877,                0.04167,                0.02295,                0.00923,                  3.203,                 3.1517,                   3.77,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.7912,                 2.0006,                 1.2594,                0.09065,                0.04167,                0.02241,                0.01043,                 3.1868,                 3.0604,                 3.8738,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.8509,                 2.1881,                 1.4624,                0.05554,                0.04167,                0.01652,                0.00748,                 3.1665,                 3.0076,                 3.9374,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.8689,                 2.1475,                 1.4206,                0.16436,                0.04167,                 0.0355,                0.01692,                 3.2127,                  2.835,                 3.7403,             0.00060847,             0.00060847,             0.00060847
                     60,                  1.829,                 2.0542,                 1.4306,                0.43396,                0.04167,                0.06231,                 0.0316,                 3.2883,                 2.8876,                 3.7803,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.8696,                 2.1508,                 1.4629,                0.45086,                0.04167,                0.06295,                0.02817,                 3.2321,                 2.9656,                 3.9515,             0.00058017,             0.00058017,             0.00058017
                     62,                  1.838,                 1.9221,                 1.3157,                0.46184,                0.04167,                0.06288,                0.03272,                 3.2121,                 3.0649,                 4.0071,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.6661,                 1.9154,                  1.307,                0.44885,                0.04167,                0.06256,                0.03249,                 3.2729,                 3.1794,                 4.0422,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.8343,                 1.9472,                 1.3477,                0.43195,                0.04167,                0.05738,                0.03065,                 3.2072,                 3.2266,                 3.7728,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.8292,                 2.0353,                 1.3954,                0.40198,                0.04167,                0.05712,                0.02633,                 3.2457,                 3.3748,                 3.7717,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.7402,                 1.7532,                 1.2821,                0.09936,                0.08333,                0.04819,                0.01878,                 3.2622,                 3.4639,                 3.8577,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.8326,                 1.8986,                 1.3729,                0.09142,                0.08333,                0.04821,                0.01841,                 3.3621,                 3.7478,                 3.9182,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.7546,                 2.0028,                 1.3819,                0.23792,                0.08333,                0.06467,                0.01581,                 3.3543,                 3.6632,                 4.1407,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.7062,                 1.8849,                 1.3427,                0.23784,                0.08333,                0.06622,                 0.0193,                 3.4213,                  3.447,                 4.2609,               0.000467,               0.000467,               0.000467
                     70,                 1.7737,                  1.923,                 1.4013,                0.23426,                0.08333,                0.06506,                0.01874,                 3.4486,                 3.3689,                 4.3524,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.7574,                 1.8509,                 1.3734,                 0.0997,                0.08333,                0.04509,                0.01209,                 3.4714,                 3.6485,                 4.4791,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.7711,                  1.882,                 1.4178,                0.06691,                  0.125,                0.03811,                0.00921,                  3.284,                 4.6729,                 4.1314,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.7045,                 1.7435,                 1.3422,                0.56302,                  0.125,                0.03344,                0.00831,                 3.2181,                 5.2562,                 4.0198,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.6555,                 1.7048,                 1.3309,                0.05671,                  0.125,                0.03231,                0.00809,                  3.239,                 5.9059,                 4.0852,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.6066,                 1.6977,                 1.3094,                0.57454,                0.08333,                0.03231,                0.00797,                 3.2716,                 5.9572,                 4.0978,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.7025,                 1.8602,                 1.3828,                0.06996,                0.16667,                0.04505,                0.00964,                 3.2786,                 4.4329,                 4.0902,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.6709,                 1.7433,                 1.3207,                0.03801,                0.08333,                0.02401,                 0.0099,                 3.1801,                 3.8178,                  4.066,             0.00035382,             0.00035382,             0.00035382
                     78,                   1.58,                 1.7028,                 1.2991,                0.06942,                  0.125,                0.03849,                0.01234,                 3.1182,                 3.8559,                 4.0271,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.5457,                 1.6198,                 1.2654,                0.05992,                0.13646,                0.03477,                0.01293,                 3.0529,                 4.0736,                 4.1425,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.6871,                 1.7744,                  1.362,                0.03444,                0.08333,                0.02563,                0.01229,                 3.0605,                 4.7346,                 4.0372,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.6068,                 1.6262,                 1.2537,                0.03535,                0.08333,                 0.0248,                0.01109,                 3.1139,                 5.2301,                 4.0901,             0.00029723,             0.00029723,             0.00029723
                     82,                  1.544,                 1.6574,                 1.2703,                0.04723,                0.08333,                 0.0233,                0.01014,                 3.1763,                 5.3385,                 4.1391,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.5696,                 1.5543,                 1.1934,                0.04911,                0.08333,                0.02127,                0.00925,                 3.1914,                 5.4819,                 4.1208,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.6341,                  1.704,                 1.2982,                0.04377,                0.08333,                0.01857,                0.00825,                 3.1703,                 5.0166,                  4.445,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.5473,                 1.5762,                 1.2861,                0.02855,                0.08333,                0.01605,                 0.0073,                 3.1534,                 4.8521,                 4.5921,             0.00024064,             0.00024064,             0.00024064
                     86,                  1.552,                 1.5201,                 1.1717,                0.02507,                0.08333,                0.01568,                0.00724,                 3.1309,                 4.9875,                   4.81,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.5524,                 1.5848,                 1.2986,                0.02403,                0.08333,                0.01714,                0.00666,                 3.1095,                 4.9319,                  4.591,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.5987,                 1.5766,                 1.2547,                0.03181,                0.04167,                0.01614,                0.00665,                 3.1563,                 5.5329,                 4.5303,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.5534,                 1.5655,                 1.3058,                 0.0285,                0.08333,                0.01726,                 0.0074,                 3.1549,                 5.4459,                 4.3603,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.5019,                  1.557,                 1.2094,                0.03702,                0.04167,                0.01612,                0.00788,                  3.146,                 5.5793,                 4.3157,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.5756,                  1.997,                 1.2233,                0.04161,                  0.125,                0.02552,                0.00921,                 3.1502,                 5.6823,                 4.2625,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.4751,                  1.769,                 1.2292,                0.03719,                0.04167,                0.01778,                0.00798,                 3.1877,                 6.1522,                 4.2112,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.4214,                 1.7345,                 1.2064,                0.03741,                0.04167,                0.01709,                0.00755,                 3.1974,                 6.8375,                 4.2483,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.4182,                  1.714,                 1.2358,                0.03101,                  0.125,                0.01813,                 0.0077,                 3.2026,                 6.8856,                  4.194,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.3775,                 1.6114,                 1.1724,                0.03478,                0.04167,                0.01704,                0.00742,                 3.2072,                 7.4421,                 4.3454,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                  1.401,                 1.7846,                 1.2113,                0.03059,                  0.125,                0.01898,                0.00848,                  3.178,                 7.8315,                 4.5227,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.4382,                 1.7559,                 1.2338,                0.03468,                  0.125,                0.02092,                0.00959,                 3.1711,                 7.7066,                 4.7179,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.3535,                 1.7281,                 1.1388,                0.03651,                  0.125,                  0.022,                0.00991,                 3.1352,                 8.0559,                 4.8211,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.4177,                 1.8253,                 1.1745,                0.03761,                  0.125,                 0.0225,                0.00989,                 3.1397,                 8.8161,                 5.1053,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.4019,                 1.6588,                 1.1901,                 0.0346,                  0.125,                0.02185,                 0.0094,                 3.1275,                 10.916,                 5.3455,             2.8437e-05,             2.8437e-05,             2.8437e-05
